sub,p,o
http://www.wikidata.org/entity/Q1712191,http://schema.org/version,1359384113
http://www.wikidata.org/entity/Q1712191,http://schema.org/dateModified,2021-02-12T00:05:49Z
http://www.wikidata.org/entity/Q1712191,http://schema.org/description,Kapelle in Korsika
http://www.wikidata.org/entity/Q1712191,http://schema.org/description,"chapel located in Haute-Corse, in France"
http://www.wikidata.org/entity/Q1712191,http://schema.org/description,"capilla situada en Alta Córcega, en Francia"
http://www.wikidata.org/entity/Q1712191,http://schema.org/description,chapelle à Rogliano (Haute-Corse)
http://www.wikidata.org/entity/Q1712191,http://schema.org/description,"kapel in Rogliano, Frankrijk"
http://www.wikidata.org/entity/Q1712191,http://www.w3.org/2000/01/rdf-schema#label,Santa Maria della Chiappella
http://www.wikidata.org/entity/Q1712191,http://www.w3.org/2000/01/rdf-schema#label,Chapelle de confrérie Santa Croce de Rogliano
http://www.wikidata.org/entity/Q1712191,http://www.w3.org/2000/01/rdf-schema#label,chapelle de confrérie de Rogliano
http://www.wikidata.org/entity/Q1712191,http://wikiba.se/ontology#statements,11
http://www.wikidata.org/entity/Q1712191,http://wikiba.se/ontology#sitelinks,2
http://www.wikidata.org/entity/Q1712191,http://wikiba.se/ontology#identifiers,3
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/direct/P18,http://commons.wikimedia.org/wiki/Special:FilePath/Rogliano%20Confr%C3%A9rie%20Santa%20Croce.jpg
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108325
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q842027
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/P17,http://www.wikidata.org/entity/statement/Q1712191-18095555-F5D7-4B9A-BB21-F6CC8180F5A0
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/P18,http://www.wikidata.org/entity/statement/Q1712191-A5D7F543-C531-45F6-8133-5AE207602C2E
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/P31,http://www.wikidata.org/entity/statement/Q1712191-620C5886-823A-4F69-95A1-41E17C8BF21C
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/P131,http://www.wikidata.org/entity/statement/Q1712191-368EFDF7-A074-4665-BCC6-67EDF34997DF
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/direct/P373,Chapelle de confrérie Santa Croce de Rogliano
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/direct/P380,PA00099239
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/direct/P625,Point(9.4194 42.9563)
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/direct/P1435,http://www.wikidata.org/entity/Q10387684
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/direct/P2671,/g/12290zf7
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/direct/P3963,2B/accueil_2B261a
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/direct/P6375,Bettolacce
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/direct-normalized/P2671,http://g.co/kg/g/12290zf7
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/P373,http://www.wikidata.org/entity/statement/Q1712191-29d53674-4798-2274-643f-9102cc62861f
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/P380,http://www.wikidata.org/entity/statement/Q1712191-3D251A81-7127-4BF0-8024-CC36C1057D7F
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/P625,http://www.wikidata.org/entity/statement/Q1712191-162DB0AC-943D-41E5-BAC4-1928B3E5D2A9
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/P1435,http://www.wikidata.org/entity/statement/Q1712191-03C3C523-3660-4E96-810A-4C31640FC13C
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/P2671,http://www.wikidata.org/entity/statement/Q1712191-40C5B6C0-C7D6-44FF-B510-F3D5C1664BDC
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/P3963,http://www.wikidata.org/entity/statement/Q1712191-72db7746-429e-d03d-a3c9-9dc4760269b2
http://www.wikidata.org/entity/Q1712191,http://www.wikidata.org/prop/P6375,http://www.wikidata.org/entity/statement/Q1712191-157b2826-3764-4d2e-b7ce-1c6c58af6cde
http://www.wikidata.org/entity/Q2219977,http://schema.org/version,1359446672
http://www.wikidata.org/entity/Q2219977,http://schema.org/dateModified,2021-02-12T01:42:18Z
http://www.wikidata.org/entity/Q2219977,http://schema.org/description,Kapelle in Frankreich
http://www.wikidata.org/entity/Q2219977,http://schema.org/description,"chapel located in Haute-Corse, in France"
http://www.wikidata.org/entity/Q2219977,http://schema.org/description,"capilla situada en Alta Córcega, en Francia"
http://www.wikidata.org/entity/Q2219977,http://schema.org/description,"chapelle située en Haute-Corse, en France"
http://www.wikidata.org/entity/Q2219977,http://schema.org/description,"kapel in Cambia, Frankrijk"
http://www.wikidata.org/entity/Q2219977,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.wikidata.org/prop/novalue/P3963
http://www.wikidata.org/entity/Q2219977,http://www.w3.org/2000/01/rdf-schema#label,San Quilico (Cambia)
http://www.wikidata.org/entity/Q2219977,http://www.w3.org/2000/01/rdf-schema#label,Chapelle San Quilico de Cambia
http://www.wikidata.org/entity/Q2219977,http://www.w3.org/2000/01/rdf-schema#label,chapelle San Quilico de Cambia
http://www.wikidata.org/entity/Q2219977,http://www.w3.org/2004/02/skos/core#altLabel,San Quilico de Cambia
http://www.wikidata.org/entity/Q2219977,http://www.w3.org/2004/02/skos/core#altLabel,San Quilico
http://www.wikidata.org/entity/Q2219977,http://wikiba.se/ontology#statements,11
http://www.wikidata.org/entity/Q2219977,http://wikiba.se/ontology#sitelinks,3
http://www.wikidata.org/entity/Q2219977,http://wikiba.se/ontology#identifiers,3
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q142
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/direct/P18,http://commons.wikimedia.org/wiki/Special:FilePath/Cambia-San%20Quilicu-4.jpg
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q108325
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q476362
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q46261
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/P17,http://www.wikidata.org/entity/statement/q2219977-D82B4BCB-A8CF-4F54-9471-1AECE35E2446
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/P18,http://www.wikidata.org/entity/statement/Q2219977-7AD3F063-699D-45D2-A8D1-7D3D8456E1E0
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/P31,http://www.wikidata.org/entity/statement/Q2219977-20C8A50E-8500-407C-B729-647BB17C2C3A
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/P131,http://www.wikidata.org/entity/statement/Q2219977-F016BE5F-BB6A-4ADE-BC3B-5754A0954181
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/P149,http://www.wikidata.org/entity/statement/Q2219977-44BA8605-5C95-4657-85CC-64860AEFF699
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/direct/P373,Chapelle San Quilico de Cambia
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/direct/P380,PA00099176
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/direct/P625,Point(9.293055555 42.378888888)
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/direct/P1435,http://www.wikidata.org/entity/Q10387684
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/direct/P2671,/g/1236shq0
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/direct-normalized/P2671,http://g.co/kg/g/1236shq0
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/P373,http://www.wikidata.org/entity/statement/Q2219977-7B737502-0C5A-4163-A1C3-D5F706468445
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/P380,http://www.wikidata.org/entity/statement/Q2219977-4D6D662D-2CF9-41AB-AEF5-BB75EE8BAE1C
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/P625,http://www.wikidata.org/entity/statement/q2219977-5BF6E300-1A92-4ECC-A04D-7D7778F8CD41
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/P1435,http://www.wikidata.org/entity/statement/Q2219977-4741C819-CB51-4FF9-8F4F-DBE6BBE1B4C7
http://www.wikidata.org/entity/Q2219977,http://www.wikidata.org/prop/P2671,http://www.wikidata.org/entity/statement/Q2219977-8E443644-07EF-4323-95DA-D4D2F2DA3F41
